event_time,event_type,product_id,product_name,category,brand,price,user_id
01-01-2025 10:01,view,101,iPhone 14,Electronics,Apple,999,1001
01-01-2025 10:02,cart,101,iPhone 14,Electronics,Apple,999,1001
01-01-2025 10:05,purchase,101,iPhone 14,Electronics,Apple,999,1001
01-01-2025 11:10,view,102,Galaxy S23,Electronics,Samsung,899,1002
01-01-2025 11:12,cart,102,Galaxy S23,Electronics,Samsung,899,1002
01-01-2025 11:15,purchase,102,Galaxy S23,Electronics,Samsung,899,1002
01-01-2025 12:00,view,103,MacBook Air,Electronics,Apple,1299,1003
01-01-2025 12:05,cart,103,MacBook Air,Electronics,Apple,1299,1003
01-01-2025 12:10,purchase,103,MacBook Air,Electronics,Apple,1299,1003
01-01-2025 13:00,view,104,Nike Shoes,Fashion,Nike,120,1004
01-01-2025 13:05,cart,104,Nike Shoes,Fashion,Nike,120,1004
01-01-2025 13:10,purchase,104,Nike Shoes,Fashion,Nike,120,1004
01-01-2025 14:00,view,105,Adidas Jacket,Fashion,Adidas,150,1005
01-01-2025 14:05,cart,105,Adidas Jacket,Fashion,Adidas,150,1005
01-01-2025 14:10,purchase,105,Adidas Jacket,Fashion,Adidas,150,1005
01-01-2025 15:00,view,106,AirPods Pro,Electronics,Apple,249,1006
01-01-2025 15:05,cart,106,AirPods Pro,Electronics,Apple,249,1006
01-01-2025 15:10,purchase,106,AirPods Pro,Electronics,Apple,249,1006
01-01-2025 16:00,view,107,Smart Watch,Electronics,Fitbit,199,1007
01-01-2025 16:05,cart,107,Smart Watch,Electronics,Fitbit,199,1007
01-01-2025 16:10,purchase,107,Smart Watch,Electronics,Fitbit,199,1007
01-01-2025 17:00,view,108,Office Chair,Furniture,Ikea,299,1008
01-01-2025 17:05,cart,108,Office Chair,Furniture,Ikea,299,1008
01-01-2025 17:10,purchase,108,Office Chair,Furniture,Ikea,299,1008
01-01-2025 18:00,view,109,Table Lamp,Furniture,Philips,89,1009
01-01-2025 18:05,cart,109,Table Lamp,Furniture,Philips,89,1009
01-01-2025 18:10,purchase,109,Table Lamp,Furniture,Philips,89,1009
01-01-2025 19:00,view,110,Running Shoes,Fashion,Nike,140,1010
01-01-2025 19:05,cart,110,Running Shoes,Fashion,Nike,140,1010
01-01-2025 19:10,purchase,110,Running Shoes,Fashion,Nike,140,1010
